,cinahl_no,medline_no,cinahl_title,medline_title,cinahl_author,medline_author,not_dup
861,1516,24966,Candidate genes involved in neural plasticity and the risk for attention-deficit hyperactivity disorder: a meta-analysis of 8 common variants.,Candidate genes involved in neural plasticity and the risk for attention-deficit  hyperactivity disorder: a meta-analysis of 8 common variants.,"Forero DA; Arboleda GH; Vasquez R; Arboleda H; Journal of Psychiatry & Neuroscience, 2009 Sep; 34 (5): 361-6. (journal article - research, systematic review, tables/charts) ISSN: 1180-4882 PMID: 19721846 CINAHL AN: 201039945","Forero DA(1), Arboleda GH, Vasquez R, Arboleda H.",
862,1519,26362,Soy food consumption and risk of prostate cancer: a meta-analysis of observational studies.,Soy food consumption and risk of prostate cancer: a meta-analysis of observational studies.,"Hwang YW; Kim SY; Jee SH; Kim YN; Nam CM; Nutrition & Cancer, 2009 Sep-Oct; 61 (5): 598-606. (journal article - research, systematic review, tables/charts) ISSN: 0163-5581 PMID: 19838933 CINAHL AN: 201040246","Hwang YW(1), Kim SY, Jee SH, Kim YN, Nam CM.",
863,1520,24996,Impact of growth hormone therapy on adult height of children born small for gestational age.,Impact of growth hormone therapy on adult height of children born small for gestational age.,"Maiorana A; Cianfarani S; Pediatrics, 2009 Sep; 124 (3): e519-31. (journal article - research, systematic review, tables/charts) ISSN: 0031-4005 PMID: 19706577 CINAHL AN: 201042646","Maiorana A(1), Cianfarani S.",
864,1524,24709,"Knowledge, detection, and reporting of abuse by health and social care professionals: a systematic review.","Knowledge, detection, and reporting of abuse by health and social care professionals: a systematic review.","Cooper C; Selwood A; Livingston G; American Journal of Geriatric Psychiatry, 2009 Oct; 17 (10): 826-38. (journal article - meta analysis, research, systematic review) ISSN: 1064-7481 PMID: 19916205 CINAHL AN: 201047329","Cooper C(1), Selwood A, Livingston G.",
865,1526,24736,Gene expression profiles as predictors of poor outcomes in stage II colorectal cancer: a systematic review and meta-analysis.,Gene expression profiles as predictors of poor outcomes in stage II colorectal cancer: A systematic review and meta-analysis.,"Lu A; Salpeter SR; Reeve AE; Eschrich S; Johnston PG; Barrier AJ; Bertucci F; Buckley NS; Salpeter EE; Lin AY; Clinical Colorectal Cancer, 2009 Oct; 8 (4): 207-14. (journal article - research, systematic review, tables/charts) ISSN: 1533-0028 PMID: 19822511 CINAHL AN: 201044595","Lu AT(1), Salpeter SR, Reeve AE, Eschrich S, Johnston PG, Barrier AJ, Bertucci F, Buckley NS, Salpeter EE, Lin AY.",
866,1527,24740,Effects of exercise programmes on quality of life in osteoporotic and osteopenic postmenopausal women: a systematic review and meta-analysis.,Effects of exercise programmes on quality of life in osteoporotic and osteopenic  postmenopausal women: a systematic review and meta-analysis.,"Li W; Chen Y; Yang R; Tsauo J; Clinical Rehabilitation, 2009 Oct; 23 (10): 888-96. (journal article - pictorial, research, systematic review, tables/charts) ISSN: 0269-2155 PMID: 19717503 CINAHL AN: 201043158","Li WC(1), Chen YC, Yang RS, Tsauo JY.",
867,1528,24741,Ventilator-associated pneumonia and mortality: a systematic review of observational studies.,Ventilator-associated pneumonia and mortality: a systematic review of observational studies.,"Melsen WG; Rovers MM; Bonten MJ; Critical Care Medicine, 2009 Oct; 37 (10): 2709-18. (journal article - research, systematic review) ISSN: 0090-3493 PMID: 19885994 CINAHL AN: 201045962","Melsen WG(1), Rovers MM, Bonten MJ.",
868,1529,24743,Heterogeneous effects of fructose on blood lipids in individuals with type 2 diabetes: systematic review and meta-analysis of experimental trials in humans.,Heterogeneous effects of fructose on blood lipids in individuals with type 2 diabetes: systematic review and meta-analysis of experimental trials in humans.,"Sievenpiper JL; Carleton AJ; Chatha S; Jiang HY; de Souza RJ; Beyene J; Kendall CW; Jenkins DJ; Diabetes Care, 2009 Oct; 32 (10): 1930-7. (journal article - meta analysis, research, systematic review) ISSN: 0149-5992 PMID: 19592634 CINAHL AN: 201042588","Sievenpiper JL(1), Carleton AJ, Chatha S, Jiang HY, de Souza RJ, Beyene J, Kendall CW, Jenkins DJ.",
869,1530,24749,Chlorination disinfection by-products in drinking water and congenital anomalies: review and meta-analyses.,Chlorination disinfection by-products in drinking water and congenital anomalies: review and meta-analyses.,"Nieuwenhuijsen MJ; Martinez D; Grellier J; Bennett J; Best N; Iszatt N; Vrijheid M; Toledano MB; Environmental Health Perspectives, 2009 Oct; 117 (10): 1486-93. (journal article - meta analysis, research, systematic review, tables/charts) ISSN: 0091-6765 PMID: 20019896 CINAHL AN: 201045794","Nieuwenhuijsen MJ(1), Martinez D, Grellier J, Bennett J, Best N, Iszatt N, Vrijheid M, Toledano MB.",
870,1532,24762,"Pharmacotherapy plus endoscopic intervention is more effective than pharmacotherapy or endoscopy alone in the secondary prevention of esophageal variceal bleeding: a meta-analysis of randomized, controlled trials.","Pharmacotherapy plus endoscopic intervention is more effective than pharmacotherapy or endoscopy alone in the secondary prevention of esophageal variceal bleeding: a meta-analysis of randomized, controlled trials.","Ravipati M; Katragadda S; Swaminathan PD; Molnar J; Zarling E; Gastrointestinal Endoscopy, 2009 Oct; 70 (4): 658-64. (journal article - research, systematic review, tables/charts) ISSN: 0016-5107 PMID: 19643407 CINAHL AN: 201043499","Ravipati M(1), Katragadda S, Swaminathan PD, Molnar J, Zarling E.",
871,1533,24764,Zolmitriptan nasal spray in the acute treatment of cluster headache: a meta-analysis of two studies.,Zolmitriptan nasal spray in the acute treatment of cluster headache: a meta-analysis of two studies.,"Hedlund C; Rapoport AM; Dodick DW; Goadsby PJ; Headache: The Journal of Head & Face Pain, 2009 Oct; 49 (9): 1315-23. (journal article - research, systematic review, tables/charts) ISSN: 0017-8748 PMID: 19788472 CINAHL AN: 201043457","Hedlund C(1), Rapoport AM, Dodick DW, Goadsby PJ.",
872,1534,24765,The relative efficacy of phenothiazines for the treatment of acute migraine: a meta-analysis.,The relative efficacy of phenothiazines for the treatment of acute migraine: a meta-analysis.,"Kelly A; Walcynski T; Gunn B; Headache: The Journal of Head & Face Pain, 2009 Oct; 49 (9): 1324-32. (journal article - research, systematic review, tables/charts) ISSN: 0017-8748 PMID: 19496829 CINAHL AN: 201043457","Kelly AM(1), Walcynski T, Gunn B.",
873,1536,24773,"Meta-analysis of positive effects, side effects and adverse events of holistic mind-body medicine (clinical holistic medicine): experience from Denmark, Sweden, United Kingdom and Germany.","Meta-analysis of positive effects, side effects and adverse events of holistic mind-body medicine (clinical holistic medicine): experience from Denmark, Sweden, United Kingdom and Germany.","Ventegodt S; Merrick J; International Journal of Adolescent Medicine & Health, 2009 Oct-Dec; 21 (4): 441-56. (journal article - meta analysis, research, systematic review, tables/charts) ISSN: 0334-0139 PMID: 20306759 CINAHL AN: 201057072","Ventegodt S(1), Merrick J.",
874,1537,24774,A meta-analysis of hypnosis in the treatment of depressive symptoms: a brief communication.,A meta-analysis of hypnosis in the treatment of depressive symptoms: a brief communication.,"Shih M; Yang Y; Koo M; International Journal of Clinical & Experimental Hypnosis, 2009 Oct-Dec; 57 (4): 431-42. (journal article - research, systematic review, tables/charts) ISSN: 0020-7144 PMID: 20183000 CINAHL AN: 201041075","Shih M(1), Yang YH, Koo M.",
875,1538,24787,Psychosocial intervention for adults with cancer: a meta-analysis.,Psychosocial intervention for adults with cancer: a meta-analysis.,"Preyde M; Synnott E; Journal of Evidence-Based Social Work, 2009 Oct-Dec; 6 (4): 321-47. (journal article - research, systematic review, tables/charts) ISSN: 1543-3714 PMID: 20183681 CINAHL AN: 201050230","Preyde M(1), Synnott E.",
876,1540,24792,Effect of vitamin D on blood pressure: a systematic review and meta-analysis.,Effect of vitamin D on blood pressure: a systematic review and meta-analysis.,"Witham MD; Nadir MA; Struthers AD; Journal of Hypertension, 2009 Oct; 27 (10): 1948-54. (journal article - meta analysis, research, systematic review) ISSN: 0263-6352 PMID: 19587609 CINAHL AN: 201046726","Witham MD(1), Nadir MA, Struthers AD.",
877,1543,24788,Hormone therapy and skeletal muscle strength: a meta-analysis.,Hormone therapy and skeletal muscle strength: a meta-analysis.,"Greising SM; Baltgalvis KA; Lowe DA; Warren GL; Journals of Gerontology Series A: Biological Sciences & Medical Sciences, 2009 Oct; 64A (10): 1071-81. (journal article - research, systematic review) ISSN: 1079-5006 PMID: 19561145 CINAHL AN: 201039183","Greising SM(1), Baltgalvis KA, Lowe DA, Warren GL.",
878,1544,24806,Risk of bleeding with vascular endothelial growth factor receptor tyrosine-kinase inhibitors sunitinib and sorafenib: a systematic review and meta-analysis of clinical trials.,Risk of bleeding with vascular endothelial growth factor receptor tyrosine-kinase inhibitors sunitinib and sorafenib: a systematic review and meta-analysis of clinical trials.,"Je Y; Schutz FA; Choueiri TK; Lancet Oncology, 2009 Oct; 10 (10): 967-74. (journal article - research, systematic review) ISSN: 1470-2045 PMID: 19767240 CINAHL AN: 201042635","Je Y(1), Schutz FA, Choueiri TK.",
879,1545,24825,Paramedic determinations of medical necessity: a meta-analysis.,Paramedic determinations of medical necessity: a meta-analysis.,"Brown LH; Hubble MW; Cone DC; Millin MG; Schwartz B; Patterson PD; Greenberg B; Richards ME; Prehospital Emergency Care, 2009 Oct-Dec; 13 (4): 516-27. (journal article - research, systematic review, tables/charts) ISSN: 1090-3127 PMID: 19731166 CINAHL AN: 201039961","Brown LH(1), Hubble MW, Cone DC, Millin MG, Schwartz B, Patterson PD, Greenberg B, Richards ME.",
880,1546,24835,Systematic review of the operative risks of carotid endarterectomy for recently symptomatic stenosis in relation to the timing of surgery.,Systematic review of the operative risks of carotid endarterectomy for recently symptomatic stenosis in relation to the timing of surgery.,"Rerkasem K; Rothwell PM; Stroke (00392499), 2009 Oct; 40 (10): e564-72. (journal article - research, systematic review) ISSN: 0039-2499 PMID: 19661467 CINAHL AN: 201042172","Rerkasem K(1), Rothwell PM.",
881,1547,24837,The hazards and benefits associated with smoking and smoking cessation in Asia: a meta-analysis of prospective studies.,The hazards and benefits associated with smoking and smoking cessation in Asia: a meta-analysis of prospective studies.,"Nakamura K; Huxley R; Ansary-Moghaddam A; Woodward M; Tobacco Control, 2009 Oct; 18 (5): 345-53. (journal article - research, systematic review, tables/charts) ISSN: 0964-4563 PMID: 19617218 CINAHL AN: 201049108","Nakamura K(1), Huxley R, Ansary-Moghaddam A, Woodward M.",
882,1548,24703,C-reactive protein as a risk factor for coronary heart disease: a systematic review and meta-analyses for the U.S. Preventive Services Task Force.,C-reactive protein as a risk factor for coronary heart disease: a systematic review and meta-analyses for the U.S. Preventive Services Task Force.,"Buckley DI; Fu R; Freeman M; Rogers K; Helfand M; Annals of Internal Medicine, 2009 Oct 6; 151 (7): 483-95. (journal article - meta analysis, research, systematic review) ISSN: 0003-4819 PMID: 19805771 CINAHL AN: 201077572","Buckley DI(1), Fu R, Freeman M, Rogers K, Helfand M.",
883,1549,24746,Ultrasonographic screening for the detection of abdominal aortic aneurysms.,Ultrasonographic screening for the detection of abdominal aortic aneurysms.,"Eckstein H; BÃ¶ckler D; FlessenkÃ_mper I; Schmitz-Rixen T; Debus S; Lang W; Deutsches Aerzteblatt International, 2009 Oct 9; 106 (41): 657-63. (journal article - diagnostic images, pictorial, research, systematic review, tables/charts) CINAHL AN: 201044993","Eckstein HH(1), BÃ¶ckler D, FlessenkÃ_mper I, Schmitz-Rixen T, Debus S, Lang W.",
884,1550,24668,HLA-B51/B5 and the risk of BehÃ§et's disease: A systematic review and meta-analysis of case-control genetic association studies.,HLA-B51/B5 and the risk of BehÃ§et's disease: a systematic review and meta-analysis of case-control genetic association studies.,"de Menthon M; Lavalley MP; Maldini C; Guillevin L; Mahr A; Arthritis & Rheumatism: Arthritis Care & Research, 2009 Oct 15; 61 (10): 1287-96. (journal article - research, systematic review) ISSN: 0004-3591 PMID: 19790126 CINAHL AN: 201043964","de Menthon M(1), Lavalley MP, Maldini C, Guillevin L, Mahr A.",
885,1552,24745,Exercise as stroke prophylaxis.,Exercise as stroke prophylaxis.,"Reimers CD; Knapp G; Reimers AK; Deutsches Aerzteblatt International, 2009 Oct 30; 106 (44): 715-21. (journal article - meta analysis, research, systematic review, tables/charts) PMID: 19997550 CINAHL AN: 201047410","Reimers CD(1), Knapp G, Reimers AK.",
886,1553,24537,Online support for smoking cessation: a systematic review of the literature.,Online support for smoking cessation: a systematic review of the literature.,"Shahab L; McEwen A; Addiction, 2009 Nov; 104 (11): 1792-804. (journal article - research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 19832783 CINAHL AN: 201044291","Shahab L(1), McEwen A.",
887,1554,24538,Computer-delivered interventions to reduce college student drinking: a meta-analysis.,Computer-delivered interventions to reduce college student drinking: a meta-analysis.,"Carey KB; Scott-Sheldon LA; Elliott JC; Bolles JR; Carey MP; Addiction, 2009 Nov; 104 (11): 1807-19. (journal article - research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 19744139 CINAHL AN: 201044293","Carey KB(1), Scott-Sheldon LA, Elliott JC, Bolles JR, Carey MP.",
888,1555,24536,Smoking history and the incidence of age-related macular degeneration--results from the Muenster Aging and Retina Study (MARS) cohort and systematic review and meta-analysis of observational longitudinal studies.,Smoking history and the incidence of age-related macular degeneration--results from the Muenster Aging and Retina Study (MARS) cohort and systematic review and  meta-analysis of observational longitudinal studies.,"Neuner B; Komm A; Wellmann J; Dietzel M; Pauleikhoff D; Walter J; Busch M; Hense HW; Addictive Behaviors, 2009 Nov; 34 (11): 938-47. (journal article - meta analysis, research, systematic review) ISSN: 0306-4603 PMID: 19539431 CINAHL AN: 201036911","Neuner B(1), Komm A, Wellmann J, Dietzel M, Pauleikhoff D, Walter J, Busch M, Hense HW.",
